Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-12-02,57184.07000000,57375.47000000,55777.77000000,56480.34000000,37574.05976000,2021-12-02,2127110102.10730950,1307890,18375.47518000,1040366894.55012720,0
2021-12-03,56484.26000000,57600.00000000,51680.00000000,53601.05000000,58927.69027000,2021-12-03,3246198505.94685110,1865063,27287.25751000,1505556556.15786320,0
2021-12-04,53601.05000000,53859.10000000,42000.30000000,49152.47000000,114203.37374800,2021-12-04,5495712061.97853156,3362771,52876.55238000,2544632557.49625190,0
2021-12-05,49152.46000000,49699.05000000,47727.21000000,49396.33000000,45580.82012000,2021-12-05,2231486105.84391170,1371839,22420.90324000,1097785758.59097620,0
2021-12-06,49396.32000000,50891.11000000,47100.00000000,50441.92000000,58571.21575000,2021-12-06,2851528919.17953640,1741956,28820.34753000,1403464676.88509370,0
2021-12-07,50441.91000000,51936.33000000,50039.74000000,50588.95000000,38253.46877000,2021-12-07,1950573500.20866580,1212350,18679.11099000,952551067.62598570,0
2021-12-08,50588.95000000,51200.00000000,48600.00000000,50471.19000000,38425.92466000,2021-12-08,1925458787.11475220,1118225,18126.84362000,908410692.24600910,0
2021-12-09,50471.19000000,50797.76000000,47320.00000000,47545.59000000,37692.68665000,2021-12-09,1841474998.89511000,1130599,18097.05960000,884082539.70479120,0
2021-12-10,47535.90000000,50125.00000000,46852.00000000,47140.54000000,44233.57391000,2021-12-10,2135023722.85315130,1215231,21143.96129000,1020995576.30256690,0
2021-12-11,47140.54000000,49485.71000000,46751.00000000,49389.99000000,28889.19358000,2021-12-11,1397524635.58140210,957390,14452.26806000,699251597.80523830,0
2021-12-12,49389.99000000,50777.00000000,48638.00000000,50053.90000000,26017.93421000,2021-12-12,1292315883.62455370,863605,13266.00955000,658923314.86798010,0
2021-12-13,50053.90000000,50189.97000000,45672.75000000,46702.75000000,50869.52093000,2021-12-13,2423888500.79030500,1399599,23487.02280000,1119972248.53840220,0
2021-12-14,46702.76000000,48700.41000000,46290.00000000,48343.28000000,39955.98445000,2021-12-14,1887427362.47409660,1194992,20010.80589000,945501336.15691430,0
2021-12-15,48336.95000000,49500.00000000,46547.00000000,48864.98000000,51629.18100000,2021-12-15,2487012309.09154930,1438176,25861.16891000,1246095378.45954120,0
2021-12-16,48864.98000000,49436.43000000,47511.00000000,47632.38000000,31949.86739000,2021-12-16,1551200654.05274500,1023983,15281.92439000,742115283.57739880,0
2021-12-17,47632.38000000,47995.96000000,45456.00000000,46131.20000000,43104.48870000,2021-12-17,2015966349.51613240,1261780,19846.77192000,928665863.58507440,0
2021-12-18,46133.83000000,47392.37000000,45500.00000000,46834.48000000,25020.05271000,2021-12-18,1165205135.70084270,862066,12635.54707000,588649454.27256670,0
2021-12-19,46834.47000000,48300.01000000,46406.91000000,46681.23000000,29305.70665000,2021-12-19,1384958598.36276990,874827,14646.77828000,692559814.22856370,0
2021-12-20,46681.24000000,47537.57000000,45558.85000000,46914.16000000,35848.50609000,2021-12-20,1663363117.83045340,1076488,17666.32749000,819817570.66374300,0
2021-12-21,46914.17000000,49328.96000000,46630.00000000,48889.88000000,37713.92924000,2021-12-21,1827234149.05988020,1119412,19356.27006000,937648412.22213540,0
